COACHELLA_SENTIMENT,COACHELLA_YN,NAME,RETWEET_COUNT,TEXT,TWEET_COORD,TWEET_CREATED,TWEET_ID,TWEET_LOCATION,USER_TIMEZONE
positive,yes,RaphNasty,0,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",,2015-01-07 14:13:00,5529510000000000,"San Diego, CA/Los Angeles, CA",
positive,yes,ChandlerMader,0,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ÿ˜˜"" #Coachella2015Â¿Â¿Â¿ @maderlife _Ÿ’ƒ","[47.33337043, -122.34953378]",2015-01-07 14:11:00,5529510000000000,,Arizona
positive,yes,RiggsVida,0,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ŸŒ_,,2015-01-07 14:11:00,5529510000000000,,
positive,yes,_taBz,0,ITS OFFICIAL @nycbritt #Coachella2015   _Ÿ’›_Ÿ_‰âœ¨â˜€ï¸è_Ÿ‘™_Ÿ_¶,,2015-01-07 14:09:00,5529500000000000,"Saskatoon, SK CANADA",Mountain Time (US & Canada)
positive,yes,ashley_sfg,0,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!,,2015-01-07 14:07:00,5529500000000000,bay area,Pacific Time (US & Canada)
positive,yes,Leetzle_,0,â€œ@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us PLZZZ,,2015-01-07 14:01:00,5529480000000000,Bay Area,
positive,yes,CTooleSaysStuff,1,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,2015-01-07 14:01:00,5529480000000000,,
positive,yes,czechmayte,0,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ÿ˜__Ÿ˜_,,2015-01-07 14:01:00,5529480000000000,seein' stars *_*,
positive,yes,HannahhRay,1,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay _Ÿ˜ç,,2015-01-07 14:00:00,5529480000000000,AR  / TX ,Central Time (US & Canada)
positive,yes,Kyra_IX,1,RT @Jammit08: See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,2015-01-07 14:00:00,5529480000000000,Edmonton/Maskwacis,Mountain Time (US & Canada)
positive,yes,MicheleFin,0,Can't wait for #Coachella2015  _Ÿ‘…_ŸŒ€_Ÿ‘…,"[42.36408252, -71.05697201]",2015-01-07 13:58:00,5529470000000000,Boston,Central Time (US & Canada)
positive,yes,_kendallwood,1,The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,2015-01-07 13:58:00,5529470000000000,Nueva York,Quito
positive,yes,Clumsy_Gabby,0,I need to go to #Coachella2015,,2015-01-07 13:57:00,5529470000000000,"Auckland,NZ",
positive,yes,EricHoang_,1,"Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,2015-01-07 13:57:00,5529470000000000,"space city, texas",Central Time (US & Canada)
positive,yes,ccbella_rover,0,Don't wanna jinx it but I have an Instagram agreement for my Coachella trade! :-) #coachella2015 #instatrade,,2015-01-07 13:57:00,5529470000000000,,Pacific Time (US & Canada)
positive,yes,cristinaeromero,0,Your girl is going to #Coachella2015 _Ÿ˜»,,2015-01-07 13:57:00,5529470000000000,,
positive,yes,kuliano,1,RT @MaxG718: the LATEST #Coachella2015 lineup is too poppin' http://t.co/HsQSggoomc http://t.co/yBIbpxnsdm,,2015-01-07 13:54:00,5529460000000000,New York City,Eastern Time (US & Canada)
positive,yes,atia1126,0,Putting it in my plans to go see my boo @Drake at #Coachella2015,,2015-01-07 13:54:00,5529460000000000,LA FL DMV ATL NYC,Quito
positive,yes,hannah_frog,1,RT @zzzach_scott: See you in 99 days #Coachella2015 @hannah_frog http://t.co/dib4iCsyWh,,2015-01-07 13:53:00,5529460000000000,Soccerâ€¢Î_Î_Î“,Central Time (US & Canada)
positive,yes,joshua_aen,0,Got my weekend 2 pass for #coachella2015.  Pumped to be marking this #music festival off myâ€_ http://t.co/kkx94sYJV0,,2015-01-07 13:52:00,5529460000000000,"Denver, Colorado",Mountain Time (US & Canada)
positive,yes,BenjaminSimons,0,Still trying to find tickets for #Coachella2015 so hmu if you're selling!,,2015-01-07 13:52:00,5529460000000000,IV,Pacific Time (US & Canada)
positive,yes,LANGMarMendoza,0,"@RMSpuhler @mimi3000 @meiwen_liang You've been quoted in my #Storify story ""#Coachella2015 tickets sold out"" http://t.co/QP4TZWCIxL",,2015-01-07 13:51:00,5529460000000000,"Los Angeles, Calif.",Hawaii
positive,yes,ihoppermeredith,0,"If anyone has an extra Car Camping ticket, hit me up, our group needs one! #Coachella #Coachella2015 #Coachellatickets",,2015-01-07 13:51:00,5529460000000000,"Tempe, AZ",Pacific Time (US & Canada)
positive,yes,model_life2015,8,RT @Modelinia: The #Coachella2015 lineup has arrived! Here are 10 acts you MUST see at this year's festival: http://t.co/IWzxoxfiHj http://â€_,,2015-01-07 13:50:00,5529450000000000,,
positive,yes,_Belmarie,16,RT @OurFemaleRebel: Miley's getting ready for #Coachella2015 Bleach Blonde it is             _Ÿ’‡_Ÿ’…_Ÿ‘± http://t.co/k1MvQpRJyL,,2015-01-07 13:49:00,5529450000000000,,
positive,yes,FKB__,2,RT @JSterns7: Looking to buy a weekend one @coachella pass #coachella #Coachella2015 @TexasEDMFamily,,2015-01-07 13:47:00,5529450000000000,,Eastern Time (US & Canada)
positive,yes,_jennster21,0,I regret buying #EDCLV tickets... I want to go to Coachella so so bad!!!! _Ÿ˜__Ÿ˜__Ÿ˜_ who wants two edc tickets!?! #insomniac #Coachella2015 _Ÿ’–_Ÿ’–_Ÿ’–_Ÿ™è,,2015-01-07 13:47:00,5529450000000000,,
positive,yes,cruznkenga,0,Weekend 2 baby #Coachella2015 #wk2 #,,2015-01-07 13:46:00,5529440000000000,"Coachella, Ca",
positive,yes,isaafreak,0,#Coachella2015 week two YAAAAASSSSSSSS!!!! @xMusicalCells _ŸŒ»_ŸŒ»_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜›_Ÿ˜›_Ÿ˜›_Ÿ˜ç,,2015-01-07 13:45:00,5529440000000000,,Alaska
positive,yes,Jammit08,1,See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,2015-01-07 13:45:00,5529440000000000,Maskwacis Ab Canada,Arizona
positive,yes,ShayneOfficial,1,RT @sleazystfn: Guess is who is gonna wiggle wiggle at coachella! @chHELLOVENUS #Coachella2015 #Coachella #kpop #hellovenus http://t.co/19Xâ€_,,2015-01-07 13:44:00,5529440000000000,"Bay Area, California",Pacific Time (US & Canada)
positive,yes,LeManbun_Vinh,0,See y'all at Coachella _Ÿ˜˜ #Coachella2015,"[32.85934729, -117.22100518]",2015-01-07 13:44:00,5529440000000000,San Diego,
positive,yes,_Kellavilla,1,RT @heyittsdreah: @_Kellavilla Soon _Ÿ’•_ŸŒ´â›º_Ÿ_¡ #Coachella2015,,2015-01-07 13:43:00,5529440000000000,,
positive,yes,MissGallo,0,Two words you never want to see...#Coachella2015 http://t.co/ziAviNDVfD,"[0.0, 0.0]",2015-01-07 13:42:00,5529430000000000,NYC | LA | SF,Quito
positive,yes,RavingGanja,4,RT @booyouwhores: so yeah Iâ€™m looking for a weekend 1 coachella ticket! please RT to help me find one thanks #Coachella2015 #coachellaforsaâ€_,,2015-01-07 13:42:00,5529430000000000,Wonderland,
positive,yes,CachuWinkyface,0,looking for two GA #Coachella #Coachella2015 tickets + car camping #crychella2k15,,2015-01-07 13:42:00,5529430000000000,,Pacific Time (US & Canada)
positive,yes,vanneciaa,0,So #Coachella2015 is actually happening_Ÿ™è,"[26.29515919, -80.19953947]",2015-01-07 13:39:00,5529430000000000,,Eastern Time (US & Canada)
positive,yes,silvertonguee,1,"RT @allison_huntley: Okay, here I fixed it #FifthHarmony #Coachella #Coachella2015 http://t.co/3tnGJqhqKt",,2015-01-07 13:37:00,5529420000000000,Los Angeles,Pacific Time (US & Canada)
positive,yes,kendall_paige,2,RT @elithekidd: Looking for #coachella2015 passes âœ¨Someone be my savior please âœ¨,,2015-01-07 13:33:00,5529410000000000,"San Luis Obispo, CA",Pacific Time (US & Canada)
positive,yes,Pimp_Down_,1,RT @nick_thaAnimal: If it comes down to it I'll go James Bond mode #Coachella2015,,2015-01-07 13:32:00,5529410000000000,"City of Festivals, Cali",Arizona
positive,yes,whitbarb912,0,I'm ready for #Coachella2015,,2015-01-07 13:32:00,5529410000000000,Los Angeles,Pacific Time (US & Canada)
positive,yes,lexander_tran,0,See y'all @ #Coachella2015 _Ÿ˜__Ÿ_¶ http://t.co/JJwPyNsetu,,2015-01-07 13:31:00,5529410000000000,,
positive,yes,elithekidd,2,Looking for #coachella2015 passes ¨Someone be my savior please,,2015-01-07 13:31:00,5529410000000000,Los Angeles // Marina Del Rey ,
positive,yes,WaGaBakgatla,0,"I want to write an essay, but I won't. #Coachella2015 http://t.co/tQERsD99BZ",,2015-01-07 13:25:00,5529390000000000,Worldwide,Greenland
positive,yes,PK_Ike,0,@PK_Ike: Looking to buy a coachella car camping pass for weekend 2! Hmu #COACHELLA #Coachella2015 #carcamping,"[33.83427916, -118.34772251]",2015-01-07 13:25:00,5529390000000000,"ÃœT: 33.7945952,-118.1414693",Pacific Time (US & Canada)
positive,yes,_jogayle,0,So want to go to #Coachella2015  especially with @Drake and @FKAtwigs announced!,,2015-01-07 13:25:00,5529390000000000,london,Casablanca
positive,yes,HollywoodIC,0,#Coachella2015 Whoa! The Weeknd &amp; Drake performing!!,,2015-01-07 13:24:00,5529390000000000,,Eastern Time (US & Canada)
positive,yes,RogerCraigSmith,2,Dig these guys much! Can't wait to see them at #Coachella2015! Two dudes creating incredible sounds. https://t.co/3tjZwbarUA,,2015-01-07 13:24:00,5529390000000000,Los Angeles,Pacific Time (US & Canada)
positive,yes,jngarland,0,got my #Coachella2015 Weekend 2 tickets! Can't wait to cross this off my bucket list!,,2015-01-07 13:22:00,5529380000000000,oakland california,Central Time (US & Canada)
positive,yes,Just_Twigs,0,Finallyâ€_ #Coachella2015 Week 2 here we come.,,2015-01-07 13:22:00,5529380000000000,,Eastern Time (US & Canada)
positive,yes,aloh25,0,COACHELLA I'm coming for ya! _Ÿ˜_ #coachella2015 #hellyeah http://t.co/U7yqB9kvPu,,2015-01-07 13:22:00,5529380000000000,,
positive,yes,Jacob_Walter997,260,RT @kaskade: â€œ@Forever21: The lineup is here! #Coachella2015 http://t.co/tNOrBbvUfzâ€ù Cue the flower headband display front + center!,,2015-01-07 13:20:00,5529380000000000,,Arizona
positive,yes,shkuhbr,0,IF YOURE SELLING #Coachella2015  WEEK 2 PASS HMU!!!!!!!,"[34.14791893, -117.46578989]",2015-01-07 13:19:00,5529380000000000,,
positive,yes,cee__mariee,4,RT @MonicaFulmer: FUCK ME DUDE I WANT TO GO SO BADDDDD #Coachella2015 http://t.co/bHIxOJirow,,2015-01-07 13:19:00,5529380000000000,Iowa,Central Time (US & Canada)
positive,yes,RyanCortezz,0,â€œ@MyDesert: .@coachella festival passes sell out in 38 minutes http://t.co/GyrlxL4JMn #Coachella2015â€ù @maddiepenaa _Ÿ‘€,,2015-01-07 13:19:00,5529380000000000,Coachella... The Velvet Rope,Pacific Time (US & Canada)
positive,yes,Ruth_in_dubai,0,Might as well plan ahead for April non? Happy early 40th birthday to moi! From moi! #coachella2015â€_ http://t.co/NczeWEMG48,,2015-01-07 13:19:00,5529370000000000,"Dubai, UAE",Quito
positive,yes,cassieclauser,0,All I have to say is thank god for presale &amp; @EricaTabano #Coachella2015,,2015-01-07 13:18:00,5529370000000000,,Pacific Time (US & Canada)
positive,yes,Hanjcksn,0,I honestly just want to see Steely Dan... #Coachella2015,,2015-01-07 13:17:00,5529370000000000,,Central Time (US & Canada)
positive,yes,VickyOrdsmith,1,@katrina0801 @coachella way to start of the new year! #coachella2015,,2015-01-07 13:17:00,5529370000000000,Manchester,Amsterdam
positive,yes,maya_says_,0,dreaming of LaLa land with @mattyod tonight @coachella #Coachella2015,,2015-01-07 13:13:00,5529360000000000,toronto,
positive,yes,NotJack4,1,RT @JamesAppleg8: @Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,2015-01-07 13:11:00,5529350000000000,Long Beach,Arizona
positive,yes,CatfoodBeerGlue,0,"Some people vacation in Hawaii every year, some go to Europe, and I choose to poo in a 110F port-a-potty for 4 days. #Coachella2015",,2015-01-07 13:10:00,5529350000000000,"Yay Area, CA",Pacific Time (US & Canada)
positive,yes,LANGMarMendoza,15,#Coachellatickets sold out in less than 40 mins. Did you get yours? #Coachella2015 @coachella http://t.co/th1y4k3v6y,,2015-01-07 13:07:00,5529350000000000,"Los Angeles, Calif.",Hawaii
positive,yes,AmandaGabrielle,0,I could cry of happiness _Ÿ˜©_Ÿ˜©_Ÿ˜©_Ÿ˜©_Ÿ˜© #Coachella2015,,2015-01-07 13:07:00,5529350000000000,"Staten Island, NY",Central Time (US & Canada)
positive,yes,JustChelseaB,0,Great line up for #Coachella2015 who's going to Coachella this year??,,2015-01-07 13:07:00,5529350000000000,,Eastern Time (US & Canada)
positive,yes,JVR24_,0,"Artists that I didn't know that stuck out to me. ""&gt;"" are a must see for me. #Coachella2015 http://t.co/Z9g6iAFQgM",,2015-01-07 13:06:00,5529340000000000,90011,Alaska
positive,yes,JamesAppleg8,1,@Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,2015-01-07 13:06:00,5529340000000000,,
positive,yes,Waltraud9141,1,RT @koufaxmusic: something for your ears while you wait on the standby page #Coachella #Coachella2015 https://t.co/3vhd4Ckuxf,,2015-01-07 13:05:00,5529340000000000,Mississippi,
positive,yes,jaclynLsmith,0,https://t.co/dot8qgvwDp @zayngos_mangos !!!! #Coachella2015 is calling our names!,,2015-01-07 13:05:00,5529340000000000,Pittsburgh / Scranton PA,Central Time (US & Canada)
positive,yes,mirandaevargas,0,Weekend 1 _Ÿ˜œ_Ÿ_¶ #Coachella2015 #camping,"[33.84938423, -117.57429832]",2015-01-07 13:05:00,5529340000000000,Southern California,Pacific Time (US & Canada)
positive,yes,camille_perich,1,Sold a part of my soul when I purchased my Coachella ticket but I really could care less #Coachella2015 _Ÿ˜__Ÿ˜_,"[37.70626024, -121.95709504]",2015-01-07 13:04:00,5529340000000000,â“Ÿâ“˜â€¢â“‘â“”â“£â“êâ€¢â“Ÿâ“—â“˜â€¢â“¢â““â“¢â“_,Arizona
positive,yes,joyceekim,0,So no one ask me to hang out or do any fun things w them that require money until summer bc #Coachella2015 just left me _Ÿ˜__Ÿ’€ #brokeaf,,2015-01-07 13:04:00,5529340000000000,,
positive,yes,caaiiit_,0,â€œ@jaywoodzs: Honestly just got an adrenaline rush from fucking getting my tickets #coachella2015 @caaiiit_â€ù God bless,"[33.75078394, -118.30769944]",2015-01-07 13:03:00,5529340000000000,,Pacific Time (US & Canada)
positive,yes,bradphillips004,0,Just got tickets to #Coachella2015! So freaking excited. Can we just cancel Jan/Feb/Mar and skip straight to April already?!?!,,2015-01-07 13:02:00,5529330000000000,"Melbourne, Australia",Melbourne
positive,yes,Aidansahota,0,Buzzing.... _Ÿ˜Å_Ÿ˜Å_Ÿ˜Å_Ÿ˜Å_Ÿ˜Å.. Can Not wait For April 17th.. _Ÿ’ƒ_Ÿ‘¯_Ÿ‘¯_Ÿ_§_Ÿ___Ÿ__ #Coachella2015,,2015-01-07 13:02:00,5529330000000000,London,Casablanca
positive,yes,xMissTaylor,0,One day I will travel to the USA to go to Coachella _Ÿ‡º_Ÿ‡¸ #Coachella2015 #MakeItHappen,,2015-01-07 13:01:00,5529330000000000,Bristol ,London
positive,yes,simonepedretti1,0,The worst text you'll ever receive #Coachella2015 http://t.co/KEsCyT4xwU,,2015-01-07 13:01:00,5529330000000000,San Diego,
positive,yes,sierralkbabe,1,So psyched for #Coachella2015 with @HannahhRay _Ÿ˜ç,,2015-01-07 13:01:00,5529330000000000,the last frontier,
positive,yes,itserikestrada,0,Wait. #Coachella2015 made me broke _Ÿ’¸,,2015-01-07 13:00:00,5529330000000000,"Los Angeles, CA",Pacific Time (US & Canada)
positive,yes,DrumsandBluntsS,0,Ya bitches .. #Coachella2015 http://t.co/UvzWoqxujo,,2015-01-07 13:00:00,5529330000000000,LA,
positive,yes,AmandaaaSimon,1,â€œ@PipaVal: Iz happeninnn #Coachella2015 âœ¨ http://t.co/S1aHN99DoQâ€ù CAN'T WAIT,,2015-01-07 12:59:00,5529330000000000,Miami,Atlantic Time (Canada)
positive,yes,BigSmokes5,0,@porterrobinson I BOUGHT MY COACHELLA TICKET TO SEE YOU PERFORM WORLDS LIVE. I gotta hear you sing lionhearted dude! #Worlds #Coachella2015,,2015-01-07 12:58:00,5529320000000000,,
positive,yes,thuymahp,0,Tickets are officially booked for Coachella! #STOKED #coachella2015 #happydance http://t.co/KEKnO9Hdoy,,2015-01-07 12:57:00,5529320000000000,,Central Time (US & Canada)
positive,yes,Lana_del_slaay,0,"If I don't get #Coachella  tickets, I WILL FUCKING DIE! #Coachella2015",,2015-01-07 12:56:00,5529320000000000,Planet Froot,Atlantic Time (Canada)
positive,yes,kaeaboy,0,Well I'm going bananas right now _Ÿ˜Å_Ÿ_¡_ŸŒ…_Ÿ_¶ #Coachella2015 http://t.co/Q3ybvSfZJj,,2015-01-07 12:56:00,5529320000000000,Maui | OC,Pacific Time (US & Canada)
positive,yes,JackkLangan,0,The new #Coachella line up! Would love to be going!_Ÿ˜¥_Ÿ‡º_Ÿ‡¸_Ÿ™ˆ #Coachella2015 http://t.co/fyTezrWjYe,,2015-01-07 12:55:00,5529320000000000,"Ireland, Co.Mayo!",Dublin
positive,yes,KatiaGarciaSan,0,Now I need an airplane ticket and a hotel #Coachella2015,,2015-01-07 12:55:00,5529320000000000,MÃ©xico,Mexico City
positive,yes,Jenna8515,0,Ahh 38 mins of staring @the comp screen waiting 2 purchase @coachella tix was worth it from #cantwait #Coachella2015 http://t.co/9XuUlTimuZ,,2015-01-07 12:55:00,5529310000000000,World Traveler ,Eastern Time (US & Canada)
positive,yes,xoSergio,0,Waited at 12 on the dot for Weekend 1 tickets and they sold out 50 mins later. #sosad #Coachella2015,,2015-01-07 12:55:00,5529310000000000,,Pacific Time (US & Canada)
positive,yes,TheeSweetestTea,0,"And THAT, my friends, is why you should always take advantage of presale #Coachella2015",,2015-01-07 12:54:00,5529310000000000,,Pacific Time (US & Canada)
positive,yes,JacqSpeer,0,_Ÿ˜_Let the countdown begin!! brn_3ttt #coachella2015 #FLO #FINALLY @hanabolabolaâ€_ http://t.co/qal0EBwZ8O,,2015-01-07 12:54:00,5529310000000000,"Fort Worth, Texas",Central Time (US & Canada)
positive,yes,honestlycarolyn,0,My blood pressure has never been higher #Coachella2015 #ticketprobs,,2015-01-07 12:54:00,5529310000000000,Southern California,Pacific Time (US & Canada)
positive,yes,amanda_cee,0,take me with youuuuuuu RT @PipaVal: Iz happeninnn #Coachella2015 âœ¨ http://t.co/UWYGvJ9HMs,,2015-01-07 12:54:00,5529310000000000,,Quito
positive,yes,MyMyshelly,0,Thinking about sneaking into #Coachella2015 just to see @MarinasDiamonds perform. _Ÿ˜†,,2015-01-07 12:51:00,5529310000000000,Los Angeles CA,Arizona
positive,yes,Rolfring,0,"Hell yea,Norwegian act @toddterjeolsen @ellenwoodEP: so what do you really really think about the lineup for #Coachella2015 ? worth going?â€ù",,2015-01-07 12:51:00,5529300000000000,"Asker, Norway",
positive,yes,rodela_sandra,0,I want to go to coachella _Ÿ˜_ #Coachella2015,,2015-01-07 12:50:00,5529300000000000,,
positive,yes,PipaVal,0,Iz happeninnn #Coachella2015 âœ¨ http://t.co/P91OiHk9dB,,2015-01-07 12:49:00,5529300000000000,"Miami, FL",Quito
positive,yes,BrookeNicholexo,0,lol call me the ticketmaster cause I literally got all my friends through_Ÿ™Œ #Coachella2015 #chipotle,,2015-01-07 12:49:00,5529300000000000,Vegas. Bilbao. Reno ,
positive,yes,VMTEvents,2,".@coachella passes sold out fast, but you can still get Travel Packages with TICKETS at http://t.co/E5vwXga6a4 #Coachella #Coachella2015",,2015-01-07 12:49:00,5529300000000000,,Eastern Time (US & Canada)
positive,yes,IsabelsWild,0,i got my coachella ticket!! VIP doe #Coachella2015 #Coachella2015,,2015-01-07 12:49:00,5529300000000000,,Pacific Time (US & Canada)
positive,yes,ZoeColaso,0,Conversations with Darlene_Ÿ˜‚ #Coachella2015 #Drake #need http://t.co/ITcNJiEYE2,"[34.41225069, -119.69820988]",2015-01-07 12:48:00,5529300000000000,California grown ,Pacific Time (US & Canada)
positive,yes,dajaaaaaah,0,SOOOOOO EXCITED !!!!!!! #coachella2015 #coachella and we barely decided to go less than 24 hours ago _Ÿ˜± http://t.co/chYlUj6VxT,,2015-01-07 12:48:00,5529300000000000,,
